,isbn,title,original_title,authors,original_publication_year,average_rating
5470,,What Got You Here Won't Get You There: How Successful People Become Even More Successful,What Got You Here Won't Get You There: How Successful People Become Even More Successful,"Marshall Goldsmith, Mark Reiter",2007.0,3.94
5476,,"Edensor (Tetralogi Laskar Pelangi, #3)",Edensor,Andrea Hirata,2007.0,4.06
5499,,Jacob Have I Loved,Jacob Have I Loved,Katherine Paterson,1980.0,3.64
5502,,"Maybe Not (Maybe, #1.5)",Maybe Not,Colleen Hoover,2014.0,4.14
5512,,"Thief (Love Me with Lies, #3)",Thief,Tarryn Fisher,2013.0,4.4
5545,,"Found in You (Fixed, #2)",Found in You,Laurelin Paige,2013.0,4.27
5554,,"Jet (Marked Men, #2)",Jet,Jay Crownover,2013.0,4.09
5583,,"Avoiding Commitment (Avoiding, #1)",Avoiding Commitment,K.A. Linde,2012.0,3.85
5637,,"Law Man (Dream Man, #3)",Law Man,Kristen Ashley,2012.0,4.33
5643,,"Dirty Red (Love Me with Lies, #2)",Dirty Red,Tarryn Fisher,2012.0,4.22
5646,,تاكسي: حواديت المشاوير,تاكسي: حواديت المشاوير,"خالد الخميسي, Khaled Al Khamissi",2006.0,3.68
5648,,The Hating Game,The Hating Game,Sally   Thorne,2016.0,4.24
5650,,"Neanderthal Seeks Human (Knitting in the City, #1)",Neanderthal Seeks Human,Penny Reid,2013.0,3.96
5653,,"Criminal (Will Trent, #6)",Criminal,Karin Slaughter,2012.0,4.21
5680,,"Killers of the Dawn (Cirque Du Freak, #9)","Killers of the Dawn (Cirque Du Freak, #9)",Darren Shan,2003.0,4.22
5705,,حبيبتي بكماء,,محمد السالم,2013.0,3.3
5726,,"His Needs, Her Needs: Building an Affair-Proof Marriage","Que Necesita El, Que Necesita Ella ",Willard F. Harley Jr.,1986.0,4.11
5745,,"Vain (The Seven Deadly, #1)",,Fisher Amelie,2012.0,4.25
5761,,Abducted (Lizzy Gardner #1),Abducted,T.R. Ragan,2011.0,3.94
5806,,The Mill River Recluse,The Mill River Recluse,Darcie Chan,2014.0,3.55
5809,,"The Secret Hour (Midnighters, #1)",The Secret Hour,Scott Westerfeld,2004.0,3.8
5820,,"Rock with Me (With Me in Seattle, #4)",Rock With Me,Kristen Proby,2013.0,4.3
5823,,"Hardpressed (Hacker, #2)",,Meredith Wild,2013.0,4.27
5829,,Grimm's Fairy Tales,Grimms Märchen,"Jacob Grimm, Wilhelm Grimm, منى الخميسي",1857.0,4.14
5830,,The Definitive Book of Body Language,The Definitive Book of Body Language,"Allan Pease, Barbara Pease",2004.0,3.97
5831,,"Between the Lines (Between the Lines, #1)",Between the Lines,Tammara Webber,2011.0,3.71
5840,,The New Best Recipe,"The New Best Recipe: All-New Edition with 1,000 Recipes","Cook's Illustrated Magazine, John Burgoyne, Carl Tremblay",1995.0,4.2
5846,,"Black Butler, Vol. 3 (Black Butler, #3)",黒執事 III [Kuroshitsuji III],Yana Toboso,2007.0,4.53
5849,,"Club Shadowlands (Masters of the Shadowlands, #1)","Club Shadowlands (Masters of the Shadowlands, #1)",Cherise Sinclair,2009.0,3.99
5855,,"Accordance (Significance, #2)",Accordance,Shelly Crane,2011.0,4.28
5865,,"Before Jamaica Lane (On Dublin Street, #3)",,Samantha Young,2014.0,4.35
5883,,Norse Mythology,Norse Mythology,Neil Gaiman,2017.0,4.12
5887,,"Bad Rep (Bad Rep, #1)",,A. Meredith Walters,2012.0,3.91
5895,,"Wild Man (Dream Man, #2)",Wild Man,Kristen Ashley,2011.0,4.21
5903,,"Seducing Cinderella (Fighting for Love, #1)",Seducing Cinderella,Gina L. Maxwell,2012.0,3.94
5969,,"The Unidentified Redhead (Redhead, #1)",The Unidentified Redhead,Alice Clayton,2010.0,4.04
5986,,Hidden,Hidden,Catherine McKenzie,2013.0,3.44
5989,,الطنطورية,الطنطورية ,"Radwa Ashour, رضوى عاشور",2010.0,4.32
6000,,"Rock the Heart (Black Falcon, #1)",Rock the Heart,Michelle A. Valentine,2012.0,4.01
6007,,"Captive Prince (Captive Prince, #1)",Captive Prince,C.S. Pacat,2015.0,3.98
6014,,"The Atlantis World (The Origin Mystery, #3)",The Atlantis World,A.G. Riddle,2014.0,3.93
6015,,"Embrace (The Violet Eden Chapters, #1)",Embrace,Jessica Shirvington,2010.0,4.01
6025,,"Trust in Me (Wait for You, #1.5)",Trust in Me,"J. Lynn, Jennifer L. Armentrout",2013.0,4.27
6030,,Jasper Jones,Jasper Jones,Craig Silvey,2009.0,4.06
6057,,"Chrzest ognia (Saga o Wiedźminie, #5)",Chrzest ognia,Andrzej Sapkowski,1996.0,4.36
6074,,"The Mating  (Law of the Lycans, #2)",The Mating,Nicky Charles,2010.0,4.02
6080,,"The Fixed Trilogy (Fixed, #1-3)",,Laurelin Paige,2014.0,4.35
6090,,"The Shadows (Black Dagger Brotherhood, #13)",The Shadows,J.R. Ward,2015.0,4.29
6097,,"If I Were You (Inside Out, #1)",If I were you,Lisa Renee Jones,2012.0,4.14
6098,,"Beautifully Damaged (Beautifully Damaged, #1)",Beautifully Damaged,L.A. Fiore,2012.0,3.99
6099,,"Wethering the Storm (The Storm, #2)",Wethering the Storm,Samantha Towle,2013.0,4.33
6102,,"Forever Black (Forever, #1)",Forever Black,Sandi Lynn,2013.0,3.99
6110,,"Defiance (Significance, #3)",Defiance,Shelly Crane,2011.0,4.31
6114,,"Revealed (House of Night, #11)",Revealed,"P.C. Cast, Kristin Cast",2013.0,3.81
6115,,We're All Damaged,,Matthew Norman,2016.0,3.85
6126,,Leo,Leo,Mia Sheridan,2013.0,4.06
6144,,The Wall of Winnipeg and Me,The Wall of Winnipeg and Me,Mariana Zapata,2016.0,4.34
6175,,"Find You in the Dark (Find You in the Dark, #1)",Find You in the Dark,A. Meredith Walters,2012.0,3.98
6197,,النبطي,النبطي,"يوسف زيدان, Youssef Ziedan",2010.0,3.43
6204,,"Unbeautifully (Undeniable, #2)",,Madeline Sheehan,2013.0,4.38
6205,,The Girl With No Past,The Girl With No Past,Kathryn Croft,2015.0,3.59
6207,,"Lady Luck (Colorado Mountain, #3)",Lady Luck,Kristen Ashley,2011.0,4.44
6220,,"A Castle of Sand (A Shade of Vampire, #3)",,Bella Forrest,2013.0,4.1
6230,,Killing Patton: The Strange Death of World War II's Most Audacious General,Killing Patton: The Strange Death of World War II's Most Audacious General,"Bill O'Reilly, Martin Dugard",2014.0,4.08
6235,,"First Shift: Legacy (Shift, #1)",First Shift: Legacy,Hugh Howey,2012.0,4.21
6267,,"Beautiful Broken Rules (Broken, #1)",,Kimberly Lauren,2013.0,4.15
6280,,"The English Spy (Gabriel Allon, #15)",The English Spy,Daniel Silva,2015.0,4.16
6285,,"The Bet (The Bet, #1)",The Bet,Rachel Van Dyken,2013.0,3.85
6288,,Too Late,,Colleen Hoover,2016.0,4.03
6302,,"Sweet Home (Sweet Home, #1)",,Tillie Cole,2013.0,4.05
6338,,"Hearts in Darkness (Hearts in Darkness, #1)",Hearts In Darkness,Laura Kaye,2011.0,3.86
6357,,The Sisterhood,,Helen Bryan,2012.0,3.75
6364,,"Price of a Kiss (Forbidden Men, #1)",,Linda Kage,2013.0,4.1
6369,,"Beautiful Sacrifice (The Maddox Brothers, #3)",Beautiful Sacrifice,Jamie McGuire,2015.0,4.08
6411,,"Reasonable Doubt: Volume 1 (Reasonable Doubt, #1)",Reasonable Doubt,Whitney G.,2014.0,4.13
6414,,"The Game Changer (The Perfect Game, #2)",,J. Sterling,2013.0,4.11
6423,,"Bad Things (Tristan & Danika, #1)",,R.K. Lilley,2013.0,4.33
6431,,Miramont's Ghost,,Elizabeth  Hall,2015.0,3.34
6463,,"Crush (Crush, #1)",,Lacey Weatherford,2012.0,3.97
6472,,The Glassblower,Die Glasbläserin,"Petra Durst-Benning, Samuel Willcocks",2000.0,3.87
6481,,An Innocent Client,An Innocent Client,Scott Pratt,2008.0,4.16
6492,,"Axel (Corps Security, #1)",Axel,Harper Sloan,2013.0,4.13
6517,,"Food Inc.: A Participant Guide: How Industrial Food is Making Us Sicker, Fatter, and Poorer-And What You Can Do About It","Food Inc.: A Participant Guide: How Industrial Food is Making Us Sicker, Fatter, and Poorer-And What You Can Do About It",Karl Weber,2009.0,4.19
6537,,"The Master Magician (The Paper Magician Trilogy, #3)",The Master Magician,Charlie N. Holmberg,2015.0,3.82
6541,,"The Marriage Trap (Marriage to a Billionaire, #2)",The Marriage Trap,Jennifer Probst,2012.0,3.9
6583,,"The One You Love (Emma Holden Suspense Mystery, #1)",,Paul Pilkington,2011.0,3.39
6595,,"Murder of Crows (The Others, #2)",Murder of Crows,Anne Bishop,2014.0,4.31
6624,,The Yacoubian Building,عمارة يعقوبيان,"Alaa Al Aswany, علاء الأسواني",2002.0,3.65
6645,,"Silent Scream (D.I. Kim Stone, #1)",Silent Scream,Angela Marsons,2015.0,4.02
6656,,"More Than This (More Than, #1)",,Jay McLean,2013.0,4.15
6694,,The Constant Gardener,The Constant Gardener,John le Carré,2001.0,3.78
6699,,"Rush Too Far (Rosemary Beach, #4; Too Far, #4)","Rush Too Far (Too Far, #4)",Abbi Glines,2014.0,4.25
6702,,"A Hidden Fire (Elemental Mysteries, #1)",A Hidden Fire,Elizabeth   Hunter,2011.0,4.05
6710,,"Epilogue (The Dark Duet, #3)",,C.J. Roberts,2013.0,4.29
6738,,"Breathe (Colorado Mountain, #4)",Breathe,Kristen Ashley,2012.0,4.38
6758,,"Indebted (The Premonition, #3)",,Amy A. Bartol,2012.0,4.37
6770,,"Fairest (An Unfortunate Fairy Tale, #2)",,Chanda Hahn,2012.0,4.12
6771,,رباعيات خيام,رباعیات [Robāʿiāt-e ʿOmar Khayyām],"Omar Khayyám, محمدعلی فروغی, قاسم غنی",1120.0,4.18
6782,,"Fate (My Blood Approves, #2)",Fate,Amanda Hocking,2010.0,3.99
6802,,"Sometimes It Lasts (Sea Breeze, #5)",Sometimes It Lasts,Abbi Glines,2013.0,4.28
6814,,"The Fate of Ten (Lorien Legacies, #6)",,Pittacus Lore,2015.0,4.32
6848,,"Bright Side (Bright Side, #1)",,Kim Holden,2014.0,4.42
6880,,Better off Friends,Better Off Friends,Elizabeth Eulberg,2014.0,3.95
6896,,"Wrong (Wrong, #1)",Wrong,Jana Aston,2015.0,3.94
6898,,"The Line (Witching Savannah, #1)",The Line,J.D. Horn,2014.0,3.78
6906,,Never Knowing,Never Knowing,Chevy Stevens,2011.0,3.85
6928,,Terms of Enlistment (Frontlines #1),Terms of Enlistment,Marko Kloos,2013.0,3.96
6929,,"Reaper's Legacy (Reapers MC, #2)",Reaper's Legacy,Joanna Wylde,2014.0,4.27
6939,,"Her Final Breath (Tracy Crosswhite, #2)",,Robert Dugoni,2015.0,4.27
6959,,"Creed (Unfinished Hero, #2)",Creed,Kristen Ashley,2012.0,4.17
6963,,Wake (Watersong #1),Wake (Watersong #1),Amanda Hocking,2012.0,3.7
6964,,A Dark Lure,,Loreth Anne White,2015.0,4.14
6968,,"The Mind Readers (Mind Readers, #1)",The Mind Readers,Lori Brighton,2010.0,3.76
6973,,"Deep (Stage Dive, #4)",Deep,Kylie Scott,2015.0,4.09
6982,,"Forever Mine (The Moreno Brothers, #1)",Forever Mine ,Elizabeth Reyes,2010.0,3.88
6999,,كخه يا بابا,كخه يا بابا,عبدالله المغلوث,2011.0,3.71
7003,,Departure,Departure,A.G. Riddle,2014.0,3.79
7023,,استمتع بحياتك,استمتع بحياتك,محمد عبد الرحمن العريفي,2006.0,4.21
7035,,"A Shadow of Light (A Shade of Vampire, #4)",,Bella Forrest,2013.0,4.1
7042,,نادي السيارات,,"Alaa Al Aswany, علاء الأسواني",2013.0,3.41
7050,,"Forever with You (Fixed, #3)",,Laurelin Paige,2014.0,4.33
7060,,"Beautiful Bombshell (Beautiful Bastard, #2.5)",Beautiful Bombshell,Christina Lauren,2013.0,4.06
7066,,"Hostile Witness (Witness Series, #1)",Hostile Witness,Rebecca Forster,2004.0,3.72
7070,,A Death in Sweden,,Kevin Wignall,2016.0,3.79
7072,,Loving Mr. Daniels,Loving Mr. Daniels,Brittainy C. Cherry,2014.0,4.28
7083,,"Hollywood Dirt (Hollywood Dirt, #1)",Hollywood Dirt,Alessandra Torre,2015.0,4.12
7093,,"No Man's Land (John Puller, #4)",No Man's Land,David Baldacci,2016.0,4.19
7096,,"Welcome to Shadowhunter Academy (Tales from the Shadowhunter Academy, #1)",,"Cassandra Clare, Sarah Rees Brennan",2015.0,4.1
7107,,The Pecan Man,,Cassie Dandridge Selleck,2012.0,4.07
7113,,عابر سرير,عابر سرير,"أحلام مستغانمي, Ahlam Mosteghanemi",2003.0,3.64
7133,,"Blood Rites (The Grey Wolves, #2)",Blood Rites ,Quinn Loftis,2011.0,4.41
7135,,"Carter Reed (Carter Reed, #1)",Carter Reed,Tijan,2013.0,4.03
7162,,"Twisted (Tangled, #2)",Twisted,Emma Chase,2014.0,4.04
7184,,"Hero (Hero, #1)",Hero,Samantha Young,2015.0,4.1
7195,,The Baller: A Down and Dirty Football Novel,The Baller: A Down and Dirty Football Novel,Vi Keeland,2016.0,4.13
7201,,"Remy (Real, #3)",,Katy Evans,2013.0,4.31
7202,,"Rock Chick Revenge (Rock Chick, #5)",,Kristen Ashley,2011.0,4.5
7212,,"Shadow Prey (Lucas Davenport, #2)",,John Sandford,1990.0,3.99
7218,,"Deep Down (Jack Reacher, #16.5)","Deep Down (Jack Reacher, #16.5)",Lee Child,2012.0,3.87
7223,,"Knight & Play (Knight, #1)",Knight & Play,Kitty French,2012.0,4.04
7224,,"Queen of Fire (Raven's Shadow, #3)",Queen of Fire,Anthony  Ryan,2015.0,3.64
7239,,"The Dry (Aaron Falk, #1)",The Dry,Jane Harper,2017.0,4.07
7254,,"Surrender Your Love (Surrender Your Love, #1)",Surrender Your Love,J.C. Reed,2013.0,3.91
7255,,CyberStorm,CyberStorm,Matthew Mather,2013.0,3.75
7264,,"Saint Odd (Odd Thomas, #7)",Saint Odd,Dean Koontz,2015.0,4.12
7272,,Wave,Wave,Sonali Deraniyagala,2013.0,3.7
7280,,The Murders in the Rue Morgue,The Murders in the Rue Morgue,Edgar Allan Poe,1841.0,3.92
7293,,محال,محال,"يوسف زيدان, Youssef Ziedan",2012.0,3.31
7318,,"Gunmetal Magic (Kate Daniels, #5.5)",Gunmetal Magic,Ilona Andrews,2012.0,4.28
7319,,"Half a War (Shattered Sea, #3)",Half a War,Joe Abercrombie,2015.0,4.01
7320,,"Rock Chick Renegade (Rock Chick, #4)",,Kristen Ashley,2011.0,4.46
7321,,"The Marriage Mistake (Marriage to a Billionaire, #3)",The Marriage Mistake,Jennifer Probst,2012.0,3.96
7367,,"Captive Prince: Volume Two (Captive Prince, #2)",Prince's Gambit,C.S. Pacat,2015.0,4.51
7380,,"Beautiful Beginning (Beautiful Bastard, #3.5)",,Christina Lauren,2013.0,4.24
7390,,"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",The Assassin and the Pirate Lord,Sarah J. Maas,2012.0,4.23
7411,,Binge,Binge,Tyler Oakley,2015.0,4.3
7412,,Black Lies,Black Lies,Alessandra Torre,2014.0,4.32
7414,,"Rome (Marked Men, #3)","Rome (Marked Men, #3)","Jay Crownover, Charlotte Connan de vries",2014.0,4.22
7430,,Mosquitoland,Mosquitoland,David  Arnold,2015.0,3.92
7431,,The Perfect Son,The Perfect Son,Barbara Claypole White,2015.0,3.97
7433,,"Raid (Unfinished Hero, #3)",Raid,Kristen Ashley,2013.0,4.23
7444,,"Fire Inside (Chaos, #2)",,Kristen Ashley,2013.0,4.33
7449,,ظل الأفعى,ظل الأفعى,يوسف زيدان,2006.0,3.0
7460,,"Tall, Tatted and Tempting (The Reed Brothers, #1)",,Tammy Falkner,2013.0,4.23
7471,,السنجة,السنجة,أحمد خالد توفيق,2012.0,3.16
7484,,سینوهه,Sinuhe egyptiläinen ,"Mika Waltari, ذبیح‌الله منصوری",1945.0,4.08
7487,,"Maid for Love (Gansett Island Series, #1)","Maid for Love (Gansett Island Series, #1)",Marie Force,2011.0,3.98
7509,,"One More Chance (Rosemary Beach, #8; Chance, #2)",One More Chance,Abbi Glines,2014.0,4.29
7522,,"Hogwarts: An Incomplete and Unreliable Guide (Pottermore Presents, #3)",Hogwarts: An Incomplete and Unreliable Guide,J.K. Rowling,2016.0,4.21
7529,,"The Cellar (The Cellar, #1)",,Natasha Preston,2014.0,3.94
7541,,The Woman Who Stole My Life,The Woman who Stole my Life,Marian Keyes,2014.0,3.52
7554,,Bone Gap,Bone Gap,Laura Ruby,2015.0,3.86
7566,,"Negeri 5 Menara (Negeri 5 Menara, #1)",Negeri 5 Menara,Ahmad Fuadi,2009.0,4.04
7604,,"Shock Wave (Virgil Flowers, #5)",Shock Wave,John Sandford,2011.0,4.19
7620,,"The Assassin and the Desert (Throne of Glass, #0.3)",The Assassin and the Desert,Sarah J. Maas,2012.0,4.4
7678,,"For You (The 'Burg, #1)",For You,Kristen Ashley,2011.0,4.19
7681,,"Friend-Zoned (Friend-Zoned, #1)",,Belle Aurora,2013.0,3.99
7690,,"Timeless (Parasol Protectorate, #5)",Timeless,Gail Carriger,2012.0,4.12
7692,,How Google Works,How Google Works,"Eric Schmidt, Jonathan Rosenberg",2014.0,4.03
7693,,"Killing Sarai (In the Company of Killers, #1)",Killing Sarai,J.A. Redmerski,2013.0,4.17
7701,,"The Law of Moses (The Law of Moses, #1)",The Law of Moses,Amy Harmon,2014.0,4.37
7704,,"Fallen Crest Family (Fallen Crest High, #2)",,Tijan,2013.0,4.28
7711,,"Special A, Vol. 1 (Special A, #1)",スペシャル·エー,Maki Minami,2003.0,4.18
7717,,"Dark Challenge (Dark, #5)",Dark challenge,Christine Feehan,2000.0,4.23
7725,,The House by the Lake,,Ella Carey,2016.0,3.9
7759,,"Damaged 2 (Damaged, #2)",,H.M. Ward,2013.0,4.13
7772,,"Three Dark Crowns (Three Dark Crowns, #1)",Three Dark Crowns,Kendare Blake,2016.0,3.86
7781,,Under Locke,Under Locke,Mariana Zapata,2014.0,4.11
7789,,الجزار,الجزار,حسن الجندي,2011.0,4.11
7800,,"Addicted to You (Addicted, #1)",Addicted to You,"Krista Ritchie, Becca Ritchie",2013.0,3.9
7802,,Kindle User's Guide,,Amazon,2009.0,3.64
7805,,Sadako and the Thousand Paper Cranes,Sadako and the Thousand Paper Cranes,"Eleanor Coerr, Ronald Himler",1977.0,4.09
7814,,"The Friend Zone (Game On, #2)",The Friend Zone,Kristen Callihan,2015.0,4.21
7820,,Low Pressure,Low Pressure,"Sandra Brown, Stephen Lang",2012.0,3.86
7822,,عائد إلى حيفا,عائد إلى حيفا,غسان كنفاني,1969.0,4.32
7869,,"Fighting for Flight (Fighting, #1)",,J.B. Salsbury,2013.0,4.16
7876,,"Reasonable Doubt: Volume 2 (Reasonable Doubt, #2)",Reasonable Doubt: Volume 2,Whitney G.,2014.0,4.14
7884,,The Light of the Fireflies,,"Paul Pen, Simon Bruni",2013.0,3.76
7902,,"It Ain't Me, Babe (Hades Hangmen, #1)",,Tillie Cole,2014.0,4.22
7907,,"Extreme Prey (Lucas Davenport, #26)",,John Sandford,2016.0,4.29
7919,,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All",,"James C. Collins, Morten T. Hansen",2011.0,4.07
7920,,2BR02B,2BR02B,Kurt Vonnegut Jr.,1962.0,3.93
7929,,Only the Innocent (DCI Tom Douglas #1),Only the Innocent,Rachel Abbott,2011.0,4.03
7930,,"The Walking Dead, Vol. 10: What We Become","The Walking Dead, Vol. 10: What We Become",Robert Kirkman,2009.0,4.29
7932,,"A Better World (Brilliance Saga, #2)",A Better World,Marcus Sakey,2014.0,4.15
7934,,"A Leaf on the Wind of All Hallows (Outlander, #8.5)","A Leaf on the Wind of All Hallows (Outlander, #8.5)",Diana Gabaldon,2012.0,4.24
7935,,Scoring Wilder,Scoring Wilder,R.S. Grey,2014.0,4.1
7947,,"Wired (Wired, #1)",,Douglas E. Richards,2005.0,3.74
7953,,"Happy, Happy, Happy",Legend of the Duck Commander,"Phil Robertson, Mark Schlabach",2013.0,4.06
7955,,"Always You (Best Friend, #1)",Best Friends with a Self-Confessed Player,Kirsty Moseley,2012.0,3.96
7961,,"The Submissive (Submissive, #1)",The submissive,Tara Sue Me,2012.0,3.97
7972,,"Where You Are (Between the Lines, #2)",Where You Are,Tammara Webber,2011.0,3.94
7992,,"Secret History (Mistborn, #3.5)",Mistborn: Secret History,Brandon Sanderson,2016.0,4.38
7998,,"Safe with Me (With Me in Seattle, #5)",,Kristen Proby,2013.0,4.37
8000,,"Monster in His Eyes (Monster in His Eyes, #1)",,J.M. Darhower,2014.0,4.21
8016,,Don't Let Me Go,Don't Let Me Go,Catherine Ryan Hyde,2011.0,4.13
8040,,"The Son (Divergent, #0.3)",Four: The Son,Veronica Roth,2014.0,4.11
8055,,"1Q84 #1-2 (1Q84, #1-2)",1Q84 Books 1-2,"Haruki Murakami, Jay Rubin",2009.0,4.07
8057,,"Rock Chick Reckoning (Rock Chick, #6)",,Kristen Ashley,2011.0,4.44
8062,,"Stranger Child (DCI Tom Douglas, #4)",,Rachel Abbott,2015.0,4.18
8085,,"Someone to Love (Someone to Love, #1)",Someone To Love,Addison Moore,2012.0,3.74
8088,,"Until Trevor (Until, #2)",,Aurora Rose Reynolds,2013.0,4.2
8107,,"The Last Girl (The Dominion Trilogy, #1)",,Joe Hart,2016.0,3.77
8109,,"Rock Chick Regret (Rock Chick, #7)",,Kristen Ashley,2011.0,4.55
8112,,"A Quest of Heroes (The Sorcerer's Ring, #1)",,Morgan Rice,2012.0,3.46
8117,,The Prettiest One,,James  Hankins,2015.0,3.66
8118,,Falling into Place,Falling Into Place,Amy Zhang,2014.0,3.88
8128,,Vanished (Callahan & McLane #1),,Kendra Elliot,2014.0,4.07
8136,,F*ck Love,,Tarryn Fisher,2015.0,4.13
8137,,The Danish Girl,The Danish Girl,David Ebershoff,2000.0,3.74
8143,,Hidden (Bone Secrets. #1),Hidden ,Kendra Elliot,2012.0,3.98
8144,,Punk 57,Punk 57,Penelope Douglas,2016.0,4.22
8146,,Nikola Tesla: Imagination and the Man That Invented the 20th Century,Nikola Tesla: Imagination and the Man That Invented the 20th Century,Sean Patrick,2013.0,3.79
8154,,"The Hedge Knight (The Tales of Dunk and Egg, #1)",The Hedge Knight,George R.R. Martin,1998.0,4.23
8163,,"Endless Knight (The Arcana Chronicles, #2)",Endless Knight ,Kresley Cole,2013.0,4.39
8177,,"Broken Silence (Silence, #2)",Broken Silence,Natasha Preston,2013.0,4.14
8203,,"The Unwanted Wife (Unwanted, #1)",The Unwanted Wife,Natasha Anders,2012.0,3.94
8204,,"Royally Screwed (Royally, #1)",Royally Screwed,Emma Chase,2016.0,4.11
8208,,رجال في الشمس,رجال في الشمس,غسان كنفاني,1963.0,4.16
8223,,How to Be Both,How to Be Both,Ali Smith,2014.0,3.61
8246,,واحة الغروب,واحة الغروب,بهاء طاهر,2006.0,3.82
8251,,"Feral Sins (The Phoenix Pack, #1)",Feral Sins,Suzanne Wright,2012.0,4.12
8262,,2 ضباط,2 ضباط,Essam Youssef,2013.0,3.64
8292,,"Sincerely, Carter (Sincerely Carter, #1)",,Whitney G.,2015.0,4.1
8296,,Long Time Coming,Long Time Coming,Edie Claire,2003.0,3.77
8298,,High Heat (Jack Reacher #17.5),High Heat,Lee Child,2013.0,3.93
8306,,One Lavender Ribbon,One Lavender Ribbon ,Heather Burch,2014.0,3.78
8314,,The Mermaid's Sister,The Mermaid's Sister,Carrie Anne Noble,2015.0,3.64
8343,,"Dominic (Slater Brothers, #1)",,L.A. Casey,2014.0,4.08
8352,,A Long Way Home,A Long Way Home,Saroo Brierley,2013.0,4.12
8358,,UR,UR,Stephen King,2009.0,3.65
8362,,"The Assassin and the Empire (Throne of Glass, #0.5)",The Assassin and the Empire,Sarah J. Maas,2012.0,4.42
8363,,"Misbehaving (Sea Breeze, #6)",Misbehaving,Abbi Glines,2013.0,4.18
8371,,Daun Yang Jatuh Tak Pernah Membenci Angin,Daun Yang Jatuh Tak Pernah Membenci Angin,Tere Liye,2010.0,3.97
8380,,"Truthwitch (The Witchlands, #1)",Truthwitch,Susan Dennard,2016.0,3.93
8390,,"Endure (Need, #4)",Endure,Carrie Jones,2012.0,4.08
8391,,"Kaleidoscope Hearts (Hearts, #1)", Kaleidoscope Hearts,Claire Contreras,2015.0,4.06
8393,,"Cage (Corps Security, #2)",,Harper Sloan,2013.0,4.29
8394,,Mud Vein,Mud Vein,Tarryn Fisher,2014.0,4.11
8425,,"A Blaze of Sun (A Shade of Vampire, #5)",,Bella Forrest,2013.0,4.15
8435,,Obsession,,Jennifer L. Armentrout,2013.0,4.15
8440,,قمر على سمرقند,قمر على سمرقند,"محمد المنسي قنديل, Mohamed Mansi Qandil",2004.0,3.9
8441,,"Convicted (Consequences, #3)",,Aleatha Romig,2013.0,4.38
8446,,المرحوم,المرحوم,حسن كمال,2013.0,3.51
8452,,Where There's Smoke,Where There's Smoke,Jodi Picoult,2014.0,3.56
8458,,"Six's Legacy (Lorien Legacies: The Lost Files, #1)",Six's Legacy,Pittacus Lore,2011.0,4.08
8465,,ليتها تقرأ,ليتها تقرأ,خالد الباتلي,2010.0,3.04
8479,,"Maryamah Karpov: Mimpi-mimpi Lintang (Tetralogi Laskar Pelangi, #4)",Maryamah Karpov: Mimpi-mimpi Lintang,Andrea Hirata,2008.0,3.6
8493,,"Into the Deep (Into the Deep, #1)",Into the Deep,Samantha Young,2013.0,4.09
8499,,"Stone Cold Touch (The Dark Elements, #2)",Stone Cold Touch,Jennifer L. Armentrout,2014.0,4.38
8510,,"Incendiary (The Premonition, #4)",Incendiary,Amy A. Bartol,2012.0,4.43
8511,,Battlefield Earth: A Saga of the Year 3000,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1982.0,3.49
8517,,"At Peace (The 'Burg, #2)",At Peace,Kristen Ashley,2011.0,4.49
8519,,Last Train to Istanbul,Nefes Nefese,"Ayşe Kulin, John W. Baker",2002.0,3.81
8537,,Stupeur et tremblements,Stupeur et tremblements,Amélie Nothomb,1999.0,3.72
8550,,"The Queen's Poisoner (Kingfountain, #1)",The Queen's Poisoner,Jeff Wheeler,2016.0,4.07
8575,,Killing Reagan: The Violent Assault That Changed a Presidency,Killing Reagan,"Bill O'Reilly, Martin Dugard",2015.0,4.08
8582,,The Sister,The Sister,Louise Jensen,2016.0,3.77
8586,,"The Shadow Throne (The Ascendance Trilogy, #3)",The Shadow Throne,Jennifer A. Nielsen,2014.0,4.23
8602,,"Accidentally on Purpose (Accidentally on Purpose, #1)",,L.D. Davis,2012.0,3.94
8613,,"Dawn of Wonder (The Wakening, #1)",Dawn of Wonder,Jonathan Renshaw,2015.0,4.36
8615,,أقوم قيلا,,سلطان موسى الموسى,2014.0,3.99
8621,,"Just One Drop (The Grey Wolves, #3)",Just One Drop,Quinn Loftis,2012.0,4.48
8628,,"The Look of Love (San Francisco Sullivans, #1; The Sullivans, #1)",The Look of Love,Bella Andre,2011.0,3.87
8641,,"Rival (Fall Away, #2)",Rival,"Penelope Douglas, Abby Craden, Nelson Hobbs",2014.0,4.16
8645,,"Spying in High Heels (High Heels, #1)",Spying in High Heels,Gemma Halliday,2006.0,3.67
8663,,"Empire of the Sun (Empire of the Sun, #1)",Empire of the Sun,J.G. Ballard,1984.0,3.98
8667,,"The Assassin and the Underworld (Throne of Glass, #0.4)",The Assassin and the Underworld,Sarah J. Maas,2012.0,4.37
8677,,"Curtsies & Conspiracies (Finishing School, #2)",Curtsies & Conspiracies,Gail Carriger,2013.0,4.11
8683,,"The Billionaire's Obsession ~ Simon (The Billionaire's Obsession, #1)",The Billionaire's Obsession ~ Simon,J.S. Scott,2013.0,4.0
